vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,destination_id,network_id,class,object_type
{},1,2026-01-23 19:11:34,False,,,ChainVector,16,29,16,ChainVector,Vector
{},2,2026-01-23 19:15:46,False,,,ChainVector,11,30,11,ChainVector,Vector
{},3,2026-01-23 19:18:56,False,,,ChainVector,19,31,19,ChainVector,Vector
{},4,2026-01-23 19:19:10,False,,,ChainVector,1,32,1,ChainVector,Vector
{},5,2026-01-23 19:21:26,False,,,ChainVector,25,33,25,ChainVector,Vector
{},6,2026-01-23 19:22:24,False,,,ChainVector,22,34,22,ChainVector,Vector
{},7,2026-01-23 19:23:28,False,,,ChainVector,28,35,28,ChainVector,Vector
{},8,2026-01-23 19:23:32,False,,,ChainVector,24,36,24,ChainVector,Vector
{},9,2026-01-23 19:27:42,False,,,ChainVector,9,37,9,ChainVector,Vector
{},10,2026-01-23 19:27:52,False,,,ChainVector,18,38,18,ChainVector,Vector
{},11,2026-01-23 19:30:18,False,,,ChainVector,20,39,20,ChainVector,Vector
{},12,2026-01-23 19:30:40,False,,,ChainVector,27,40,27,ChainVector,Vector
{},13,2026-01-23 19:32:18,False,,,ChainVector,10,41,10,ChainVector,Vector
{},14,2026-01-23 19:36:48,False,,,ChainVector,3,42,3,ChainVector,Vector
{},15,2026-01-23 19:44:20,False,,,ChainVector,7,43,7,ChainVector,Vector
{},16,2026-01-23 19:48:04,False,,,ChainVector,13,44,13,ChainVector,Vector
{},17,2026-01-23 19:50:24,False,,,ChainVector,6,45,6,ChainVector,Vector
{},18,2026-01-23 19:52:36,False,,,ChainVector,8,46,8,ChainVector,Vector
{},19,2026-01-23 19:56:10,False,,,ChainVector,5,47,5,ChainVector,Vector
{},20,2026-01-23 19:56:52,False,,,ChainVector,14,48,14,ChainVector,Vector
{},21,2026-01-23 20:00:52,False,,,ChainVector,4,49,4,ChainVector,Vector
{},22,2026-01-23 20:02:38,False,,,ChainVector,26,50,26,ChainVector,Vector
{},23,2026-01-23 20:02:42,False,,,ChainVector,15,51,15,ChainVector,Vector
{},24,2026-01-23 20:05:38,False,,,ChainVector,17,52,17,ChainVector,Vector
{},25,2026-01-23 20:57:24,False,,,ChainVector,21,53,21,ChainVector,Vector
{},26,2026-01-23 21:00:14,False,,,ChainVector,12,54,12,ChainVector,Vector
{},27,2026-01-23 21:02:34,False,,,ChainVector,23,55,23,ChainVector,Vector
{},28,2026-01-23 21:05:16,False,,,ChainVector,2,56,2,ChainVector,Vector
