id,creation_time,failed,failed_reason,time_of_death,property1,property2,property3,property4,property5,details,assignment_id,event_type,class
1,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRccGwH0hQ==""]]}",False,,,,,,,,{},69715e00113a55456ec1fe37,AssignmentReturned,Notification
2,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRckCgx+Iw==""]]}",False,,,,,,,,{},69715f6ca30144af4fc3c09b,RecruiterSubmissionComplete,Notification
3,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRclGwCbsg==""]]}",False,,,,,,,,{},697162730825196836709200,AssignmentReturned,Notification
4,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRcmKwHhKw==""]]}",False,,,,,,,,{},69715f12a0f6914cf8396a00,RecruiterSubmissionComplete,Notification
5,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRcoGg4xyQ==""]]}",False,,,,,,,,{},69715f44214be6bbcc29fddf,AssignmentReturned,Notification
6,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRcpAADUDw==""]]}",False,,,,,,,,{},69715edef404dbc7f1893901,RecruiterSubmissionComplete,Notification
7,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRcqLQOz3g==""]]}",False,,,,,,,,{},69715ec78166f90b623d26ff,RecruiterSubmissionComplete,Notification
8,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRcrEA7CPA==""]]}",False,,,,,,,,{},69715f4ca30f0c9995045afe,RecruiterSubmissionComplete,Notification
9,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRcsDw7Q1w==""]]}",False,,,,,,,,{},69715e1c606ec57e6bf4e044,RecruiterSubmissionComplete,Notification
10,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRcxJAWjvw==""]]}",False,,,,,,,,{},69715dfea391096be323a3b5,RecruiterSubmissionComplete,Notification
11,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRc4OQF7Bg==""]]}",False,,,,,,,,{},697165d28a142e589ffa4f20,AssignmentReturned,Notification
12,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRc5Ag7EjQ==""]]}",False,,,,,,,,{},69715f461ae57bfc410dcef6,RecruiterSubmissionComplete,Notification
13,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFRc6GAjnPw==""]]}",False,,,,,,,,{},69715f448fda7300c64ab1a3,RecruiterSubmissionComplete,Notification
14,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFgAECg1ZUg==""]]}",False,,,,,,,,{},69716233c2197a32317dbc2f,RecruiterSubmissionComplete,Notification
15,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+oBFgAEMw02EA==""]]}",False,,,,,,,,{},6971653a5380440d0fef3e10,RecruiterSubmissionComplete,Notification
