id,duration,time,unique_id,method,endpoint,params,class
1,0.05287555599988991,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI5KwVkjg==""]]}",,GET,/ad,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""PROLIFIC_PID"": ""614e5fdc6078c0e7eba9021f"", ""STUDY_ID"": ""69011135a79dad36017895fc"", ""SESSION_ID"": ""0kzevrdhx9vg"", ""recruiter"": ""prolific""}}",Request
2,0.05047600899979443,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI5NAB4nA==""]]}",,GET,/ad,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""PROLIFIC_PID"": ""614e5fdc6078c0e7eba9021f"", ""STUDY_ID"": ""69011135a79dad36017895fc"", ""SESSION_ID"": ""0kzevrdhx9vg"", ""recruiter"": ""prolific""}}",Request
3,0.06512171500071418,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7FwCTAA==""]]}",,GET,/ad,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""PROLIFIC_PID"": ""63268ad93b6ecc1acf782a21"", ""STUDY_ID"": ""69011135a79dad36017895fc"", ""SESSION_ID"": ""69011284c7f14f1db79aa77d"", ""recruiter"": ""prolific""}}",Request
4,0.04172377499980939,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7GQEC8w==""]]}",,GET,/consent,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""PROLIFIC_PID"": ""63268ad93b6ecc1acf782a21"", ""STUDY_ID"": ""69011135a79dad36017895fc"", ""SESSION_ID"": ""69011284c7f14f1db79aa77d"", ""recruiter"": ""prolific""}}",Request
5,0.012081569999281783,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7Ggr5TA==""]]}",,GET,/start,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""PROLIFIC_PID"": ""63268ad93b6ecc1acf782a21"", ""STUDY_ID"": ""69011135a79dad36017895fc"", ""SESSION_ID"": ""69011284c7f14f1db79aa77d"", ""recruiter"": ""prolific""}}",Request
6,0.1516252990004432,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7GwcUEg==""]]}",63268ad93b6ecc1acf782a21:69011284c7f14f1db79aa77d,GET,/timeline,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""unique_id"": ""63268ad93b6ecc1acf782a21:69011284c7f14f1db79aa77d""}}",Request
7,0.023940002000017557,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7IQmYDA==""]]}",,POST,/response,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""__dict__"": {""_parents"": {""py/object"": ""weakref.WeakKeyDictionary"", ""data"": {""<weakref at 0x15048acf0; to 'InstanceState' at 0x1502f5c70>"": ""params""}, ""_remove"": {""py/function"": ""weakref.WeakKeyDictionary.__init__.<locals>.remove""}, ""_pending_removals"": [], ""_iterating"": {""py/set"": []}, ""_dirty_len"": false}}}",Request
8,0.14304017600079533,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7IQz6gQ==""]]}",63268ad93b6ecc1acf782a21:69011284c7f14f1db79aa77d,GET,/timeline,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""unique_id"": ""63268ad93b6ecc1acf782a21:69011284c7f14f1db79aa77d""}}",Request
9,0.20102872699953878,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7JAm1JA==""]]}",,GET,/ad,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""PROLIFIC_PID"": ""67edf0b51b5bd671db6a9372"", ""STUDY_ID"": ""69011135a79dad36017895fc"", ""SESSION_ID"": ""6901128b1eb0c968e1d4faea"", ""recruiter"": ""prolific""}}",Request
10,0.04055740299918398,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7JgvWTA==""]]}",,GET,/consent,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""PROLIFIC_PID"": ""67edf0b51b5bd671db6a9372"", ""STUDY_ID"": ""69011135a79dad36017895fc"", ""SESSION_ID"": ""6901128b1eb0c968e1d4faea"", ""recruiter"": ""prolific""}}",Request
11,0.012263923000318755,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7KQLtsg==""]]}",,GET,/start,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""PROLIFIC_PID"": ""67edf0b51b5bd671db6a9372"", ""STUDY_ID"": ""69011135a79dad36017895fc"", ""SESSION_ID"": ""6901128b1eb0c968e1d4faea"", ""recruiter"": ""prolific""}}",Request
12,0.14871823100020265,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7KQ4cSQ==""]]}",67edf0b51b5bd671db6a9372:6901128b1eb0c968e1d4faea,GET,/timeline,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""py/state"": {""unique_id"": ""67edf0b51b5bd671db6a9372:6901128b1eb0c968e1d4faea""}}",Request
13,0.0018464940003468655,"{""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+kKHBI7MA2R7Q==""]]}",,GET,/consent,"{""py/object"": ""sqlalchemy.ext.mutable.MutableDict"", ""__dict__"": {""_parents"": {""py/object"": ""weakref.WeakKeyDictionary"", ""data"": {""<weakref at 0x15048b560; to 'InstanceState' at 0x1502f7f50>"": ""params""}, ""_remove"": {""py/function"": ""weakref.WeakKeyDictionary.__init__.<locals>.remove""}, ""_pending_removals"": [], ""_iterating"": {""py/set"": []}, ""_dirty_len"": false}}}",Request
