player_id,start_time,end_time,prolific_id
62f4bbe0-de59-4ca5-a523-2e814cef03a5,2025-07-09 21:43:07.907,2025-07-09 22:10:54.226,663170bb631c1b3b21b7828b
88bfb7c9-602f-4a2b-a12b-79678a2cf1fb,2025-07-09 21:45:08.019,,67e8efb9ebc7156e3f21279c
fdfa7d05-8881-45d4-8a68-2dd538102b71,2025-07-09 21:47:38.645,2025-07-09 22:00:48.427,643ead9be9be7fa2c20e1a53
abeb8bad-caa8-49e3-bd82-c9e646ab5db8,2025-07-09 21:48:33.707,,5f3ac1732efa0a74f975b1a8
68644481-756b-4e6a-87d6-54930933b101,2025-07-09 21:55:13.772,,5a792c898fe2dc0001058c3b
9312a690-bfa7-4faa-b243-9d4139b4cb73,2025-07-09 21:55:18.106,2025-07-09 22:09:54.620,672675b43041ee0d6eb749f8
1d09a3b7-f84c-483d-854d-1c6d59175969,2025-07-09 22:00:30.256,2025-07-09 22:17:36.256,67062295123561f8241f65fc
611b2c03-dc9a-4ce7-97fe-eb1d477179d9,2025-07-09 22:07:01.063,,65178713fd459dd31fbfb62b
1231fe0f-d18f-4605-af54-d76b78a5ba09,2025-07-09 22:09:59.100,,5f81fc9446ee002f681ea5e3
49282328-c288-4588-ae72-9034530f46c9,2025-07-09 22:10:27.586,,62e19208352cd518d7b2f085
731ce7b2-dd12-45a9-92fd-c7587c4d5de0,2025-07-09 22:11:41.331,2025-07-09 22:33:40.609,66d9869a4e9051cdf5d16fa3
06410970-1c9c-4d27-afec-83b3113a878c,2025-07-09 22:14:58.371,,67df4fe91fd6e35cf3478cdf
326572bd-2e79-4247-a7d4-04751617e711,2025-07-09 22:20:10.235,2025-07-09 23:09:10.988,62ceba5fdab49dfc90278cbb
678725f5-3f35-45c8-864b-a54a7e3d951c,2025-07-09 22:21:05.436,2025-07-09 22:39:23.982,673cc0c935b49103f2be1e27
a58b8e11-a359-4375-926c-69006f2c223d,2025-07-09 22:24:17.521,,5f81fc9446ee002f681ea5e3
2a963095-3637-459e-be1b-a6afc02a131f,2025-07-09 22:33:50.699,,6674554988817fd92187e95d
d76945e8-3199-43e8-99a5-2e312fcf57eb,2025-07-09 22:36:46.379,,6674554988817fd92187e95d
342bc692-03c9-42fa-9155-b97f7aab1ed7,2025-07-09 22:45:41.468,,6674554988817fd92187e95d
696b7ac8-874f-45c4-a928-10b06a99ae9d,2025-07-09 22:54:29.661,2025-07-09 23:27:28.913,65c3a122f00056edea1e17d0
21540289-8314-4cd1-bb81-80dbab184229,2025-07-09 22:54:44.752,,62ceba5fdab49dfc90278cbb
4e18a7fc-163c-40b7-84f7-d41912838250,2025-07-09 23:07:40.022,2025-07-09 23:21:14.536,6056081a5fde2acc0ac59253
00609c45-67fb-4ee1-8fe1-7e8f0c5f0e85,2025-07-09 23:08:04.879,2025-07-09 23:17:30.447,62964d27c2b2866faa677493
650cfa14-d7f5-42ab-a5ea-219df928807b,2025-07-10 02:16:59.565,,
398db48e-a8bf-47d9-a0df-de10b66ba08e,2025-07-10 02:17:57.597,,
05472bf6-b7b6-4896-ac34-f45e51519b32,2025-07-10 02:18:39.952,,
2aba9062-5623-4f3e-84bd-b700e29bcff7,2025-07-10 20:30:44.050,2025-07-10 20:49:57.039,
