vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},5,2025-10-21 11:56:14,False,,,StaticNetwork,1,True,default,0,1,0,2,0,individual_task,individual_task,1,default,,,,False,False,False,False,,1,1,0,1,2,across,9,1,{},,cooking,StaticNetwork,Network
{},6,2025-10-21 11:56:14,False,,,StaticNetwork,1,True,default,0,1,0,2,0,individual_task,individual_task,1,default,,,,False,False,False,False,,1,1,0,1,2,across,19,1,{},,decorations,StaticNetwork,Network
{},7,2025-10-21 11:56:14,False,,,StaticNetwork,1,True,default,0,1,0,2,0,individual_task,individual_task,1,default,,,,False,False,False,False,,1,1,0,1,2,across,14,1,{},,animals,StaticNetwork,Network
{},8,2025-10-21 11:56:14,False,,,StaticNetwork,1,True,default,0,1,0,2,0,individual_task,individual_task,1,default,,,,False,False,False,False,,1,1,0,1,2,across,20,1,{},,potions,StaticNetwork,Network
