vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},5,2025-10-21 11:56:14,False,,,TrialSource,5,,individual_task,individual_task,,,True,False,False,False,False,,0,1,True,9,,"{""inventories"": []}",{},,default,cooking,False,1,CraftingGameIndividualNode,Node
{},6,2025-10-21 11:56:14,False,,,TrialSource,6,,individual_task,individual_task,,,True,False,False,False,False,,0,1,True,19,,"{""inventories"": []}",{},,default,decorations,False,1,CraftingGameIndividualNode,Node
{},7,2025-10-21 11:56:14,False,,,TrialSource,7,,individual_task,individual_task,,,True,False,False,False,False,,0,1,True,14,,"{""inventories"": []}",{},,default,animals,False,1,CraftingGameIndividualNode,Node
{},8,2025-10-21 11:56:14,False,,,TrialSource,8,,individual_task,individual_task,,,True,False,False,False,False,,0,1,True,20,,"{""inventories"": []}",{},,default,potions,False,1,CraftingGameIndividualNode,Node
