vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},1,2025-10-21 11:56:13,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,26,1,{},,cooking,ImitationChainNetwork,Network
{},2,2025-10-21 11:56:13,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,28,1,{},,decorations,ImitationChainNetwork,Network
{},3,2025-10-21 11:56:13,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,25,1,{},,animals,ImitationChainNetwork,Network
{},4,2025-10-21 11:56:13,False,,,ImitationChainNetwork,4,True,default,0,4,0,5,0,chain_trial,chain_trial,4,default,,,,False,False,False,False,,4,4,0,4,5,across,27,1,{},,potions,ImitationChainNetwork,Network
