vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},9,2025-10-21 11:57:45,False,,,StaticNode,5,,individual_task,individual_task,,,True,False,False,False,False,,1,1,False,,5,{},{},,default,cooking,True,0,StaticNode,Node
{},14,2025-10-21 12:05:36,False,,,StaticNode,7,,individual_task,individual_task,,,True,False,False,False,False,,1,1,False,,7,{},{},,default,animals,True,0,StaticNode,Node
{},19,2025-10-21 12:53:59,False,,,StaticNode,6,,individual_task,individual_task,,,True,False,False,False,False,,1,1,False,,6,{},{},,default,decorations,True,0,StaticNode,Node
{},20,2025-10-21 12:55:39,False,,,StaticNode,8,,individual_task,individual_task,,,True,False,False,False,False,,1,1,False,,8,{},{},,default,potions,True,0,StaticNode,Node
