player_id,start_time,end_time,prolific_id
fdefe3cd-a4e1-445f-a4ff-1034417b910b,2025-08-20 23:06:18.981,,
78ee6a16-6129-44ca-a7a9-8bef90378b98,2025-08-21 17:50:08.150,,
a01cd450-11c3-48d5-a9f6-d9d39c5b3ef1,2025-08-21 17:53:55.697,,675660c1ce75fb95cfe069c2
25be5d82-21ab-4810-bf90-d6ef59b2d5a6,2025-08-21 17:56:25.570,2025-08-21 18:25:14.682,66e32aaad05615cfd9fcbe48
d91c9631-657f-4e0b-92ae-0a87e5572e09,2025-08-21 17:56:54.051,2025-08-21 18:17:21.257,66fc5487fa43172f24f886cc
6948b925-85ae-45ae-95d2-066cc2e226d1,2025-08-21 18:03:00.333,,616567af93f2b71b50c3ff85
60c0a7fc-3d88-4cdc-a036-4a90ab02768e,2025-08-21 18:04:36.610,,66ecded667f721bca7e5609d
e4f1eaeb-14fb-4746-aa49-066dd26d16a2,2025-08-21 18:05:53.329,2025-08-21 18:36:28.692,60284b049e884437b220b172
30f4b57d-54ec-4ce9-834f-d6d42cc52972,2025-08-21 18:06:27.955,,63e5257dc5aceb22cee2ddf1
aa70e0b3-e296-44ba-92f3-94d357b68411,2025-08-21 18:12:59.693,2025-08-21 18:47:49.629,663a722d7e8c2b7e771bd95c
f98f140b-5801-417b-8560-ad406c1ff2b8,2025-08-21 18:13:59.334,2025-08-21 18:47:53.611,5a2adf6a8e00a000019864fb
0b53f872-6b28-4b16-b55b-a53dbb7daebe,2025-08-21 18:13:59.649,2025-08-21 18:46:25.430,615921b85071b9caef6148d8
86674bba-40d4-4ab1-87f4-1c84da1e28ba,2025-08-21 18:14:50.509,2025-08-21 18:31:46.715,60a2a8570a0f9cc00d6b9d1a
a9925f7a-2c05-4fc4-9831-04337255b175,2025-08-21 18:14:59.990,2025-08-21 19:07:38.658,67d065dce723175895e18af9
ed40b4b8-9a40-4772-b801-134f2f9114b1,2025-08-21 18:15:07.602,2025-08-21 19:07:34.514,68423451060859f8ce31ee5a
04fcbf88-317a-4060-926b-fe3e2a32e368,2025-08-21 18:15:44.348,2025-08-21 18:53:22.269,60a1ddf39ea00700d482889e
