vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},81,2025-12-01 09:14:36,False,,,StaticNetwork,1,True,default,0,20,0,2,0,individual_task,individual_task,20,default,,,,False,False,False,False,,20,20,0,20,2,across,325,20,{},,cooking,StaticNetwork,Network
{},82,2025-12-01 09:14:36,False,,,StaticNetwork,1,False,default,0,17,7,1,0,individual_task,individual_task,20,default,,,,False,False,False,False,,24,17,7,17,1,across,82,20,{},,decorations,StaticNetwork,Network
{},83,2025-12-01 09:14:36,False,,,StaticNetwork,1,False,default,0,18,9,1,0,individual_task,individual_task,20,default,,,,False,False,False,False,,27,18,9,18,1,across,83,20,{},,animals,StaticNetwork,Network
{},84,2025-12-01 09:14:36,False,,,StaticNetwork,1,False,default,0,19,5,1,0,individual_task,individual_task,20,default,,,,False,False,False,False,,24,19,5,19,1,across,84,20,{},,potions,StaticNetwork,Network
