vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},81,2025-12-01 09:14:36,False,,,TrialSource,81,,individual_task,individual_task,,,True,False,False,False,False,,0,20,True,325,,"{""inventories"": []}",{},,default,cooking,False,20,CraftingGameIndividualNode,Node
{},82,2025-12-01 09:14:36,False,,,TrialSource,82,,individual_task,individual_task,,,True,False,False,False,False,,0,20,True,427,,"{""inventories"": []}",{},,default,decorations,False,20,CraftingGameIndividualNode,Node
{},83,2025-12-01 09:14:36,False,,,TrialSource,83,,individual_task,individual_task,,,True,False,False,False,False,,0,20,True,431,,"{""inventories"": []}",{},,default,animals,False,20,CraftingGameIndividualNode,Node
{},84,2025-12-01 09:14:36,False,,,TrialSource,84,,individual_task,individual_task,,,True,False,False,False,False,,0,20,True,423,,"{""inventories"": []}",{},,default,potions,False,20,CraftingGameIndividualNode,Node
