vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2025-12-01 17:53:13,False,,,35,chain_trial,6,2025-12-01 17:53:13,2025-12-01 18:12:58,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""decorations"", ""animals"", ""potions"", ""cooking""]",3,cooking,"[29, 48, 63, 17]",4,1,ChainTrialMakerState,ModuleState
{},2025-12-01 17:53:30,False,,,37,chain_trial,7,2025-12-01 17:53:30,2025-12-01 19:18:01,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""potions"", ""decorations"", ""animals"", ""cooking""]",3,cooking,"[67, 37, 53, 3]",4,1,ChainTrialMakerState,ModuleState
{},2025-12-01 17:53:35,False,,,39,chain_trial,9,2025-12-01 17:53:35,2025-12-01 18:25:11,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""potions"", ""decorations"", ""animals"", ""cooking""]",3,cooking,"[61, 34, 44, 13]",4,1,ChainTrialMakerState,ModuleState
{},2025-12-01 17:56:34,False,,,45,individual_task,11,2025-12-01 17:56:34,2025-12-01 18:07:44,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""cooking"", ""potions"", ""animals"", ""decorations""]",0,cooking,[81],1,1,ChainTrialMakerState,ModuleState
{},2025-12-01 17:58:03,False,,,48,individual_task,12,2025-12-01 17:58:03,2025-12-01 18:11:56,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""cooking"", ""potions"", ""animals"", ""decorations""]",0,cooking,[81],1,1,ChainTrialMakerState,ModuleState
{},2025-12-01 17:59:13,False,,,50,chain_trial,3,2025-12-01 17:59:13,2025-12-01 18:31:06,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""decorations"", ""cooking"", ""potions""]",3,potions,"[55, 36, 5, 76]",4,1,ChainTrialMakerState,ModuleState
{},2025-12-01 18:04:48,False,,,56,chain_trial,13,2025-12-01 18:04:48,,,True,False,False,ChainTrialMakerState,default,False,,,,1,0,True,"[""animals"", ""cooking"", ""potions"", ""decorations""]",0,animals,[],1,1,ChainTrialMakerState,ModuleState
{},2025-12-01 18:07:56,False,,,68,chain_trial,14,2025-12-01 18:07:56,,,True,False,False,ChainTrialMakerState,default,False,,,,1,0,True,"[""decorations"", ""cooking"", ""potions"", ""animals""]",0,decorations,[],1,1,ChainTrialMakerState,ModuleState
{},2025-12-01 18:08:45,False,,,70,individual_task,10,2025-12-01 18:08:45,2025-12-01 18:43:14,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""cooking"", ""animals"", ""potions"", ""decorations""]",0,cooking,[81],1,1,ChainTrialMakerState,ModuleState
{},2025-12-01 18:12:50,False,,,73,chain_trial,16,2025-12-01 18:12:50,2025-12-01 18:31:01,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""animals"", ""potions"", ""decorations""]",3,decorations,"[12, 50, 79, 23]",4,1,ChainTrialMakerState,ModuleState
{},2025-12-01 18:15:34,False,,,77,chain_trial,18,2025-12-01 18:15:34,2025-12-01 18:59:27,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""animals"", ""decorations"", ""cooking"", ""potions""]",3,potions,"[57, 21, 14, 73]",4,1,ChainTrialMakerState,ModuleState
{},2025-12-01 18:16:08,False,,,79,individual_task,17,2025-12-01 18:16:08,2025-12-01 18:29:03,,True,True,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""potions"", ""decorations"", ""cooking"", ""animals""]",0,potions,[84],1,1,ChainTrialMakerState,ModuleState
{},2025-12-01 18:35:06,False,,,99,chain_trial,24,2025-12-01 18:35:06,2025-12-01 19:03:34,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""cooking"", ""decorations"", ""potions"", ""animals""]",3,animals,"[16, 30, 72, 46]",4,1,ChainTrialMakerState,ModuleState
{},2025-12-01 18:43:14,False,,,109,chain_trial,26,2025-12-01 18:43:14,2025-12-01 19:20:43,,True,True,False,ChainTrialMakerState,default,False,,,,4,4,True,"[""potions"", ""animals"", ""decorations"", ""cooking""]",3,cooking,"[68, 43, 26, 10]",4,1,ChainTrialMakerState,ModuleState
