vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},325,2025-12-03 05:39:15,False,,,StaticNode,81,,individual_task,individual_task,,,True,False,False,False,False,,1,20,False,,81,{},{},,default,cooking,True,0,StaticNode,Node
{},423,2026-01-28 20:10:34,False,,,StaticNode,84,,individual_task,individual_task,,,True,False,False,False,False,,1,20,False,,84,{},{},,default,potions,True,0,StaticNode,Node
{},427,2026-01-28 21:19:10,False,,,StaticNode,82,,individual_task,individual_task,,,True,False,False,False,False,,1,20,False,,82,{},{},,default,decorations,True,0,StaticNode,Node
{},431,2026-01-29 03:01:28,False,,,StaticNode,83,,individual_task,individual_task,,,True,False,False,False,False,,1,20,False,,83,{},{},,default,animals,True,0,StaticNode,Node
